positionName,workYear,education,jobNature,financeStage,industryField,companyShortName,city,salary,district,createTime,positionLables,companySize,firstType,secondType,isSchoolJob,minSalary,maxSalary,maxCompanySize,companyScale
机器学习平台研发工程师,3-5年,硕士,全职,不需要融资,移动互联网,滴滴出行,北京,20k-35k,海淀区,2018-06-26,"['C/C++', '算法', '深度学习']",2000人以上,开发/测试/运维类,后端开发,0,20.0,35.0,2000,大型企业
机器学习算法工程师,3-5年,硕士,全职,不需要融资,"移动互联网,数据服务",百度,北京,28k-40k,海淀区,2018-06-25,"['金融', '深度学习', '大数据', '数据挖掘']",2000人以上,开发|测试|运维类,数据开发,0,28.0,40.0,2000,大型企业
微信推荐机器学习算法工程师（北京）,3-5年,硕士,全职,上市公司,"移动互联网 ,游戏",腾讯,北京,17k-34k,海淀区,2018-06-27,"['广告营销', '数据挖掘', 'NLP', '深度学习']",2000人以上,开发/测试/运维类,数据开发,0,17.0,34.0,2000,大型企业
机器学习研发部-推荐算法高级研发工程师/专家,3-5年,硕士,全职,上市公司,移动互联网,新浪微博,北京,25k-50k,海淀区,2018-07-10,[],2000人以上,开发/测试/运维类,数据开发,0,25.0,50.0,2000,大型企业
机器学习研发部-图像高级/资深研发工程师,3-5年,硕士,全职,上市公司,移动互联网,新浪微博,北京,20k-40k,海淀区,2018-07-09,"['图像处理', '算法', '深度学习', '模式识别']",2000人以上,开发/测试/运维类,数据开发,0,20.0,40.0,2000,大型企业
机器学习算法工程师,3-5年,硕士,全职,上市公司,移动互联网,新浪微博,北京,25k-40k,海淀区,2018-07-19,"['推荐', 'NLP', '模式识别', '人工智能']",2000人以上,开发/测试/运维类,数据开发,0,25.0,40.0,2000,大型企业
00128-微博机器学习团队-推荐算法专家,3-5年,硕士,全职,上市公司,移动互联网,新浪微博,北京,40k-60k,海淀区,2018-07-09,[],2000人以上,开发/测试/运维类,数据开发,0,40.0,60.0,2000,大型企业
机器学习算法研发工程师,3-5年,硕士,全职,不需要融资,"移动互联网,数据服务",百度,北京,25k-50k,海淀区,2018-07-18,"['广告营销', '数据挖掘']",2000人以上,开发/测试/运维类,数据开发,0,25.0,50.0,2000,大型企业
Java研发经理-机器学习方向,5-10年,本科,全职,C轮,企业服务、数据服务,永洪科技,北京,20k-30k,朝阳区,2018-07-17,"['高级', '软件开发', '数据挖掘', '管理职能']",150-500人,开发/测试/运维类,软件开发,0,20.0,30.0,500,中型企业
反欺诈机器学习专家,5-10年,本科,全职,B轮,"移动互联网,信息安全",Trusfort芯盾时代,北京,15k-30k,海淀区,2018-07-19,"['数据分析', '数据挖掘']",50-150人,开发/测试/运维类,数据开发,0,15.0,30.0,150,小型企业
机器学习负责人,5-10年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,30k-60k,朝阳区,2018-07-18,"['专家', '总监', '资深', '算法', '深度学习']",2000人以上,开发/测试/运维类,数据开发,0,30.0,60.0,2000,大型企业
算法工程师（机器学习）,5-10年,本科,全职,不需要融资,金融,凡普金科,北京,30k-50k,东城区,2018-07-19,"['金融', '数据挖掘', 'NLP']",2000人以上,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
高级机器学习算法工程师,5-10年,本科,全职,B轮,"移动互联网,O2O",斗米,北京,25k-35k,海淀区,2018-07-17,"['数据挖掘', '大数据', 'Java', 'python']",500-2000人,开发/测试/运维类,数据开发,0,25.0,35.0,2000,大型企业
分布式机器学习平台研发工程师,5-10年,本科,全职,A轮,"硬件,数据服务",寒武纪科技,北京,30k-60k,海淀区,2018-06-23,"['专家', '资深', '高级', '软件开发', '算法']",50-150人,开发/测试/运维类,软件开发,0,30.0,60.0,150,小型企业
机器学习技术专家,5-10年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,30K-60K,朝阳区,2018-07-18,"['总监', '资深', '算法', '深度学习']",2000人以上,开发/测试/运维类,数据开发,0,30.0,60.0,2000,大型企业
机器学习算法专家,5-10年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,35k-50k,朝阳区,2018-07-19,"['高级', '数据挖掘', '深度学习', '自然语言处理']",2000人以上,开发/测试/运维类,数据开发,0,35.0,50.0,2000,大型企业
机器学习产品经理岗,5-10年,本科,全职,上市公司,"电子商务,数据服务",京东集团,北京,30k-50k,朝阳区,2018-07-06,"['电商', '产品设计']",2000人以上,产品/需求/项目类,产品设计/需求分析,0,30.0,50.0,2000,大型企业
机器学习算法专家,5-10年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,30k-60k,朝阳区,2018-07-04,"['资深', '高级', '深度学习']",2000人以上,开发/测试/运维类,数据开发,0,30.0,60.0,2000,大型企业
机器学习算法高级专家,5-10年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,45k-60k,朝阳区,2018-07-19,"['资深', '架构师', '深度学习', '自然语言处理']",2000人以上,开发/测试/运维类,数据开发,0,45.0,60.0,2000,大型企业
技术专家/技术负责人（机器学习平台）,5-10年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,40k-60k,朝阳区,2018-07-19,"['资深', 'Java', '架构师', '大数据', '算法']",2000人以上,开发/测试/运维类,后端开发,0,40.0,60.0,2000,大型企业
机器学习平台 技术专家/方向负责人,5-10年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,40k-60k,朝阳区,2018-06-21,['后端开发'],2000人以上,开发/测试/运维类,后端开发,0,40.0,60.0,2000,大型企业
技术负责人/技术专家（机器学习平台、算法工程方向）,5-10年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,30k-50k,朝阳区,2018-07-18,"['物流', '资深', 'Java', '架构师', '大数据']",2000人以上,开发/测试/运维类,后端开发,0,30.0,50.0,2000,大型企业
机器学习算法专家（安全领域）,5-10年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,50k-65k,朝阳区,2018-07-18,"['信息安全', '总监', '深度学习', '人工智能']",2000人以上,开发/测试/运维类,数据开发,0,50.0,65.0,2000,大型企业
机器学习Java研发经理,5-10年,本科,全职,C轮,企业服务、数据服务,永洪科技,北京,20k-30k,朝阳区,2018-07-17,"['资深', '后端开发', 'web', '大数据', '数据']",150-500人,开发/测试/运维类,后端开发,0,20.0,30.0,500,中型企业
高级机器学习/数据挖掘工程师,5-10年,硕士,全职,上市公司,教育,尚德机构,北京,35k-55k,朝阳区,2018-07-19,"['算法', '深度学习', '推荐', '人工智能']",2000人以上,开发|测试|运维类,数据开发,0,35.0,55.0,2000,大型企业
智能问答-机器学习研究员,5-10年,硕士,全职,上市公司,"移动互联网,数据服务",搜狗,北京,40k-70k,海淀区,2018-07-19,['资深'],2000人以上,开发/测试/运维类,后端开发,0,40.0,70.0,2000,大型企业
机器学习研发部-机器学习专家,5-10年,硕士,全职,上市公司,移动互联网,新浪微博,北京,30k-60k,海淀区,2018-07-09,"['广告营销', '数据挖掘', '算法', '自然语言处理']",2000人以上,开发/测试/运维类,数据开发,0,30.0,60.0,2000,大型企业
机器学习工程师,5-10年,硕士,全职,A轮,"企业服务,数据服务",GrowingIO,北京,25k-45k,朝阳区,2018-07-16,"['大数据', '数据挖掘', '算法']",150-500人,技术,高端技术职位,0,25.0,45.0,500,中型企业
机器学习研发工程师,5-10年,硕士,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,35k-65k,朝阳区,2018-07-19,"['高级', '深度学习', '数据挖掘', '算法', '自然语言处理']",2000人以上,开发/测试/运维类,数据开发,0,35.0,65.0,2000,大型企业
计算平台研发（机器学习）工程师J10074,5-10年,硕士,全职,C轮,移动互联网,云知声,北京,30k-40k,朝阳区,2018-07-18,"['云计算', '算法', 'Java', 'python']",150-500人,开发/测试/运维类,数据开发,0,30.0,40.0,500,中型企业
大数据平台（总监VP）---机器学习科学家,5-10年,硕士,全职,D轮及以上,O2O,人人车,北京,45k-90k,朝阳区,2018-07-18,"['金融', '专家', '数据分析']",2000人以上,开发/测试/运维类,数据开发,0,45.0,90.0,2000,大型企业
00173-微博机器学习团队——算法专家,5-10年,硕士,全职,上市公司,移动互联网,新浪微博,北京,50k-80k,海淀区,2018-07-12,[],2000人以上,开发/测试/运维类,数据开发,0,50.0,80.0,2000,大型企业
机器学习工程师,不限,本科,全职,C轮,数据服务,明略数据,北京,15k-30k,海淀区,2018-07-17,"['大数据', '数据挖掘', '算法']",150-500人,开发/测试/运维类,数据开发,0,15.0,30.0,500,中型企业
机器学习研究员J10174,不限,本科,全职,D轮及以上,移动互联网,快手,北京,30k-50k,海淀区,2018-07-18,"['云计算', '数据分析', '算法', '深度学习', '模式识别']",500-2000人,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
